,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap -1 ,1.96,2.02,,,,Real Madrid,Fenerbahce,"Sunday, 20 May  2018, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/real-madrid-fenerbahce-dMI5l5Yk/
1,Asian handicap -6.5 ,1.94,2.05,Over/Under +171.5 ,2.03,1.96,CSKA Moscow,Zalgiris Kaunas,"Sunday, 20 May  2018, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/cska-moscow-zalgiris-kaunas-zDH9mPmd/
2,Asian handicap -3.5 ,2.0,2.0,Over/Under +173.5 ,1.98,1.98,CSKA Moscow,Real Madrid,"Friday, 18 May  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/cska-moscow-real-madrid-bmKvr0bs/
3,Asian handicap -5.5 ,2.1,1.96,Over/Under +155.5 ,1.97,2.07,Fenerbahce,Zalgiris Kaunas,"Friday, 18 May  2018, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/fenerbahce-zalgiris-kaunas-2eTNFwhg/
4,Asian handicap -6.5 ,1.92,2.06,Over/Under +165 ,1.96,1.97,Real Madrid,Panathinaikos,"Friday, 27 Apr  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/real-madrid-panathinaikos-63ndJjkN/
5,Asian handicap +4 ,1.94,2.02,Over/Under +167.5 ,2.11,1.98,Khimki M.,CSKA Moscow,"Friday, 27 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/khimki-m-cska-moscow-EXFFc4yG/
6,Asian handicap +1.5 ,2.13,2.02,Over/Under +160.5 ,2.08,1.97,Baskonia,Fenerbahce,"Thursday, 26 Apr  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/saski-baskonia-fenerbahce-fRq8P0DJ/
7,Asian handicap -4.5 ,2.01,2.02,Over/Under +149.5 ,2.0,2.05,Zalgiris Kaunas,Olympiakos,"Thursday, 26 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/zalgiris-kaunas-olympiakos-piraeus-f1YChpKF/
8,Asian handicap +3.5 ,1.94,2.13,Over/Under +170.5 ,1.95,2.04,Khimki M.,CSKA Moscow,"Wednesday, 25 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/khimki-m-cska-moscow-raOo3sgF/
9,Asian handicap -6.5 ,2.03,1.98,Over/Under +166.5 ,1.98,2.03,Real Madrid,Panathinaikos,"Wednesday, 25 Apr  2018, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/real-madrid-panathinaikos-MkNk218L/
10,Asian handicap -1.5 ,1.98,1.96,Over/Under +160 ,1.98,1.96,Baskonia,Fenerbahce,"Tuesday, 24 Apr  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/saski-baskonia-fenerbahce-GCMg1LNR/
11,Asian handicap -3.5 ,1.95,2.05,Over/Under +151.5 ,1.94,2.07,Zalgiris Kaunas,Olympiakos,"Tuesday, 24 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/zalgiris-kaunas-olympiakos-piraeus-xGSKduWr/
12,Asian handicap -6.5 ,1.94,2.08,Over/Under +151 ,2.0,1.94,Olympiakos,Zalgiris Kaunas,"Friday, 20 Apr  2018, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/olympiakos-piraeus-zalgiris-kaunas-QNTt4Nw9/
13,Asian handicap -7.5 ,2.0,2.02,Over/Under +154.5 ,2.0,1.93,Fenerbahce,Baskonia,"Friday, 20 Apr  2018, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/fenerbahce-saski-baskonia-nXUx53O2/
14,Asian handicap -4 ,1.98,1.97,Over/Under +163.5 ,1.98,2.05,Panathinaikos,Real Madrid,"Thursday, 19 Apr  2018, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/panathinaikos-real-madrid-YTtetKo2/
15,Asian handicap -10 ,2.0,2.06,Over/Under +169.5 ,2.16,2.02,CSKA Moscow,Khimki M.,"Thursday, 19 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/cska-moscow-khimki-m-KQxis0We/
16,Asian handicap -6.5 ,2.0,1.97,Over/Under +152 ,1.99,1.97,Olympiakos,Zalgiris Kaunas,"Wednesday, 18 Apr  2018, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/olympiakos-piraeus-zalgiris-kaunas-x2mnrtHk/
17,Asian handicap -7.5 ,1.99,2.02,Over/Under +156.5 ,1.94,2.02,Fenerbahce,Baskonia,"Wednesday, 18 Apr  2018, 20:15",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/fenerbahce-saski-baskonia-bBlrqM1q/
18,Asian handicap -3 ,1.97,2.05,Over/Under +163.5 ,2.04,1.97,Panathinaikos,Real Madrid,"Tuesday, 17 Apr  2018, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/panathinaikos-real-madrid-SS1Gm2gS/
19,Asian handicap -12.5 ,1.99,1.99,Over/Under +167 ,2.04,1.98,CSKA Moscow,Khimki M.,"Tuesday, 17 Apr  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/cska-moscow-khimki-m-lx3ClrvM/
20,Asian handicap -13.5 ,2.1,2.07,Over/Under +167.5 ,2.1,1.94,Real Madrid,Bamberg,"Friday, 06 Apr  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/real-madrid-brose-bamberg-IFgW4gXe/
