,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap -6 ,1.95,2.09,Over/Under +145.5 ,2.2,1.93,Fenerbahce,Olympiakos,"Sunday, 21 May  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-olympiakos-piraeus-hMuEZ6NA/
1,Asian handicap +3.5 ,2.04,1.96,Over/Under +177 ,2.02,1.96,Real Madrid,CSKA Moscow,"Sunday, 21 May  2017, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/real-madrid-cska-moscow-WCvIYQxH/
2,Asian handicap -3.5 ,2.06,1.97,Over/Under +157 ,2.04,1.99,Fenerbahce,Real Madrid,"Friday, 19 May  2017, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/fenerbahce-real-madrid-OdniRZ5L/
3,Asian handicap -5.5 ,1.99,2.0,Over/Under +156.5 ,2.05,2.05,CSKA Moscow,Olympiakos,"Friday, 19 May  2017, 18:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/cska-moscow-olympiakos-piraeus-lYxMdys9/
4,Asian handicap -8.5 ,2.07,2.02,Over/Under +148 ,2.0,2.0,Olympiakos,Anadolu Efes,"Tuesday, 02 May  2017, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/olympiakos-piraeus-anadolu-efes-fZFsJaNE/
5,Asian handicap +1.5 ,2.01,2.01,Over/Under +149.5 ,2.0,2.0,Anadolu Efes,Olympiakos,"Friday, 28 Apr  2017, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-vuTpVsI8/
6,Asian handicap +2.5 ,2.02,2.1,Over/Under +161.5 ,2.02,1.95,Darussafaka,Real Madrid,"Friday, 28 Apr  2017, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-S41YLwue/
7,Asian handicap +2.5 ,2.0,2.07,Over/Under +161.5 ,2.03,1.91,Darussafaka,Real Madrid,"Wednesday, 26 Apr  2017, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/darussafaka-real-madrid-z9J4qgH2/
8,Asian handicap -2.5 ,2.0,1.97,Over/Under +153.5 ,2.02,1.97,Anadolu Efes,Olympiakos,"Wednesday, 26 Apr  2017, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/anadolu-efes-olympiakos-piraeus-fBZ5sXoF/
9,Asian handicap +2.5 ,2.02,2.02,Over/Under +166.5 ,2.01,1.95,Baskonia,CSKA Moscow,"Tuesday, 25 Apr  2017, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2016-2017/saski-baskonia-cska-moscow-Y1Y9ti1L/
